Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
NYK,2014-03-15,W,Home,MIL94-115NYK,0.553,42,76,0.400,8,20,0.821,23,28,41,13,28,14,3,7,11,23,115
BKN,2014-03-15,L,Away,WAS101-94BKN,0.479,34,71,0.524,11,21,0.682,15,22,35,6,29,20,7,2,13,25,94
WAS,2014-03-15,W,Home,BKN94-101WAS,0.468,36,77,0.308,8,26,0.840,21,25,39,11,28,21,4,7,14,14,101
DEN,2014-03-15,L,Away,ATL97-92DEN,0.410,34,83,0.320,8,25,0.640,16,25,54,12,42,27,7,7,21,24,92
MIL,2014-03-15,L,Away,NYK115-94MIL,0.432,35,81,0.400,4,10,0.741,20,27,32,15,17,17,6,1,10,21,94
DET,2014-03-15,L,Home,IND112-104DET,0.407,37,91,0.304,7,23,0.767,23,30,44,8,36,24,9,7,11,21,104
IND,2014-03-15,W,Away,DET104-112IND,0.394,41,104,0.292,7,24,0.920,23,25,62,18,44,24,6,5,10,24,112
ATL,2014-03-15,W,Home,DEN92-97ATL,0.407,33,81,0.438,14,32,0.586,17,29,38,6,32,25,12,5,14,17,97
BOS,2014-03-16,L,Away,NOP121-120BOS,0.464,45,97,0.462,12,26,0.783,18,23,49,13,36,33,7,8,16,26,120
NOP,2014-03-16,W,Home,BOS120-121NOP,0.500,47,94,0.200,3,15,0.857,24,28,44,12,32,25,8,9,12,17,121
PHX,2014-03-16,W,Away,TOR113-121PHX,0.507,38,75,0.478,11,23,0.895,34,38,45,12,33,17,5,4,21,23,121
TOR,2014-03-16,L,Home,PHX121-113TOR,0.494,42,85,0.304,7,23,0.880,22,25,26,4,22,27,12,3,11,27,113
OKC,2014-03-16,L,Home,DAL109-86OKC,0.367,29,79,0.310,9,29,0.704,19,27,33,10,23,17,5,4,15,21,86
DAL,2014-03-16,W,Away,OKC86-109DAL,0.533,40,75,0.542,13,24,0.800,16,20,42,8,34,26,9,4,18,17,109
MIN,2014-03-16,W,Home,SAC102-104MIN,0.436,34,78,0.353,6,17,0.789,30,38,35,7,28,23,9,5,9,17,104
MIL,2014-03-16,L,Home,CHA101-92MIL,0.416,37,89,0.389,7,18,0.688,11,16,37,15,22,24,10,2,11,17,92
SAC,2014-03-16,L,Away,MIN104-102SAC,0.482,41,85,0.316,6,19,0.737,14,19,48,11,37,17,5,4,17,25,102
CLE,2014-03-16,L,Away,LAC102-80CLE,0.349,29,83,0.333,8,24,0.700,14,20,48,16,32,19,2,1,17,17,80
LAC,2014-03-16,W,Home,CLE80-102LAC,0.447,42,94,0.286,8,28,0.667,10,15,41,10,31,32,8,3,7,20,102
POR,2014-03-16,L,Home,GSW113-112POR,0.420,37,88,0.429,12,28,0.867,26,30,48,12,36,25,6,4,12,16,112
GSW,2014-03-16,W,Away,POR112-113GSW,0.477,42,88,0.367,11,30,0.818,18,22,41,10,31,17,7,7,12,29,113
MIA,2014-03-16,W,Home,HOU104-113MIA,0.513,40,78,0.409,9,22,0.828,24,29,31,7,24,21,9,3,14,21,113
HOU,2014-03-16,L,Away,MIA113-104HOU,0.493,37,75,0.391,9,23,0.750,21,28,34,10,24,18,11,4,16,21,104
SAS,2014-03-16,W,Home,UTA104-122SAS,0.628,49,78,0.625,10,16,0.737,14,19,40,4,36,31,4,5,12,19,122
UTA,2014-03-16,L,Away,SAS122-104UTA,0.462,42,91,0.455,5,11,0.714,15,21,39,13,26,19,8,3,8,18,104
CHA,2014-03-16,W,Away,MIL92-101CHA,0.574,39,68,0.450,9,20,0.778,14,18,39,6,33,26,5,8,18,16,101
BOS,2014-03-17,L,Away,DAL94-89BOS,0.366,34,93,0.409,9,22,0.857,12,14,57,21,36,20,8,1,17,19,89
CHA,2014-03-17,L,Home,ATL97-83CHA,0.353,30,85,0.360,9,25,0.875,14,16,42,10,32,22,4,7,7,15,83
ATL,2014-03-17,W,Away,CHA83-97ATL,0.459,39,85,0.382,13,34,0.857,6,7,51,10,41,27,3,9,15,20,97
LAC,2014-03-17,L,Away,DEN110-100LAC,0.391,36,92,0.238,5,21,0.920,23,25,43,16,27,22,13,5,16,28,100
DEN,2014-03-17,W,Home,LAC100-110DEN,0.409,38,93,0.240,6,25,0.848,28,33,55,19,36,22,11,4,17,23,110
DAL,2014-03-17,W,Home,BOS89-94DAL,0.423,33,78,0.333,9,27,0.905,19,21,36,6,30,20,7,4,13,17,94
IND,2014-03-17,W,Home,PHI90-99IND,0.383,31,81,0.333,6,18,0.816,31,38,52,16,36,13,9,4,15,17,99
UTA,2014-03-17,L,Away,HOU124-86UTA,0.410,34,83,0.222,4,18,0.778,14,18,34,9,25,21,9,4,19,25,86
HOU,2014-03-17,W,Home,UTA86-124HOU,0.582,46,79,0.520,13,25,0.731,19,26,46,8,38,31,7,12,19,22,124
PHX,2014-03-17,L,Away,BKN108-95PHX,0.463,37,80,0.273,6,22,0.536,15,28,40,12,28,18,9,2,17,24,95
BKN,2014-03-17,W,Home,PHX95-108BKN,0.586,41,70,0.429,9,21,0.630,17,27,36,6,30,23,12,3,17,24,108
CHI,2014-03-17,L,Home,OKC97-85CHI,0.345,29,84,0.227,5,22,0.710,22,31,46,13,33,21,7,4,6,15,85
OKC,2014-03-17,W,Away,CHI85-97OKC,0.413,31,75,0.520,13,25,0.786,22,28,46,6,40,20,3,6,13,27,97
PHI,2014-03-17,L,Away,IND99-90PHI,0.432,35,81,0.391,9,23,0.550,11,20,45,11,34,21,3,6,19,33,90
TOR,2014-03-18,L,Away,ATL118-113TOR,0.494,40,81,0.292,7,24,0.897,26,29,50,8,42,21,2,3,15,31,113
SAC,2014-03-18,W,Home,WAS111-117SAC,0.460,40,87,0.333,6,18,0.775,31,40,57,16,41,18,8,2,20,29,117
WAS,2014-03-18,L,Away,SAC117-111WAS,0.440,40,91,0.393,11,28,0.667,20,30,41,11,30,28,11,2,15,32,111
ATL,2014-03-18,W,Home,TOR113-118ATL,0.426,40,94,0.324,11,34,0.871,27,31,40,10,30,24,9,0,9,24,118
MIA,2014-03-18,W,Away,CLE96-100MIA,0.453,34,75,0.400,12,30,0.645,20,31,36,7,29,22,10,7,14,18,100
MIL,2014-03-18,L,Away,POR120-115MIL,0.459,45,98,0.471,8,17,0.654,17,26,53,12,41,28,10,3,19,31,115
CLE,2014-03-18,L,Home,MIA100-96CLE,0.514,37,72,0.318,7,22,0.682,15,22,41,4,37,27,6,5,20,28,96
ORL,2014-03-18,L,Away,GSW103-89ORL,0.455,35,77,0.308,4,13,0.750,15,20,40,5,35,22,2,2,16,17,89
GSW,2014-03-18,W,Home,ORL89-103GSW,0.451,37,82,0.370,10,27,0.905,19,21,44,9,35,21,7,2,11,19,103
POR,2014-03-18,W,Home,MIL115-120POR,0.433,42,97,0.308,12,39,0.889,24,27,47,11,36,25,6,5,16,22,120
DEN,2014-03-19,W,Home,DET109-118DEN,0.512,44,86,0.407,11,27,0.704,19,27,46,10,36,27,7,5,12,24,118
DAL,2014-03-19,L,Home,MIN123-122DAL,0.495,47,95,0.333,9,27,0.760,19,25,51,10,41,26,9,4,16,25,122
DET,2014-03-19,L,Away,DEN118-109DET,0.453,43,95,0.385,10,26,0.684,13,19,43,12,31,22,8,4,13,20,109
BKN,2014-03-19,W,Home,CHA99-104BKN,0.493,37,75,0.450,9,20,0.600,21,35,39,8,31,19,7,2,7,17,104
UTA,2014-03-19,L,Away,MEM96-86UTA,0.440,37,84,0.389,7,18,0.500,5,10,39,10,29,20,7,2,17,22,86
TOR,2014-03-19,W,Away,NOP100-107TOR,0.419,36,86,0.409,9,22,0.813,26,32,48,22,26,20,8,5,12,20,107
NOP,2014-03-19,L,Home,TOR107-100NOP,0.537,36,67,0.308,4,13,0.750,24,32,34,5,29,16,4,6,12,25,100
MEM,2014-03-19,W,Home,UTA86-96MEM,0.444,36,81,0.182,2,11,0.880,22,25,46,11,35,21,9,5,13,18,96
CHA,2014-03-19,L,Away,BKN104-99CHA,0.471,40,85,0.333,9,27,0.833,10,12,51,15,36,27,2,5,15,26,99
MIN,2014-03-19,W,Away,DAL122-123MIN,0.478,44,92,0.345,10,29,0.806,25,31,46,8,38,25,8,4,14,18,123
ORL,2014-03-19,L,Away,PHX109-93ORL,0.400,32,80,0.462,6,13,0.767,23,30,43,13,30,18,9,3,20,15,93
