Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
ORL,2019-04-19,L,Home,TOR98-93ORL,0.363,29,80,0.295,13,44,0.957,22,23,42,7,35,19,8,5,16,17,93
BOS,2019-04-19,W,Away,IND96-104BOS,0.469,38,81,0.441,15,34,0.591,13,22,45,9,36,23,4,4,13,19,104
IND,2019-04-19,L,Home,BOS104-96IND,0.420,34,81,0.367,11,30,0.739,17,23,40,8,32,20,9,4,11,19,96
POR,2019-04-19,L,Away,OKC120-108POR,0.470,39,83,0.387,12,31,0.750,18,24,41,12,29,18,5,1,18,33,108
OKC,2019-04-19,W,Home,POR108-120OKC,0.481,37,77,0.517,15,29,0.795,31,39,37,8,29,27,6,5,15,24,120
TOR,2019-04-19,W,Away,ORL93-98TOR,0.448,39,87,0.393,11,28,0.900,9,10,43,8,35,26,9,3,13,23,98
DEN,2019-04-20,W,Away,SAS103-117DEN,0.449,40,89,0.484,15,31,0.917,22,24,45,11,34,25,4,2,8,22,117
SAS,2019-04-20,L,Home,DEN117-103SAS,0.468,37,79,0.294,5,17,0.750,24,32,46,11,35,23,4,4,10,22,103
DET,2019-04-20,L,Home,MIL119-103DET,0.385,37,96,0.306,11,36,0.750,18,24,44,15,29,21,9,6,9,24,103
MIL,2019-04-20,W,Away,DET103-119MIL,0.488,42,86,0.368,14,38,0.875,21,24,51,13,38,24,5,6,16,22,119
UTA,2019-04-20,L,Home,HOU104-101UTA,0.416,32,77,0.293,12,41,0.658,25,38,48,7,41,21,9,11,14,22,101
HOU,2019-04-20,W,Away,UTA101-104HOU,0.384,33,86,0.333,15,45,0.676,23,34,52,9,43,19,11,4,13,25,104
PHI,2019-04-20,W,Away,BKN108-112PHI,0.500,44,88,0.308,8,26,0.762,16,21,56,12,44,25,6,8,21,24,112
BKN,2019-04-20,L,Home,PHI112-108BKN,0.400,36,90,0.316,12,38,0.774,24,31,41,12,29,23,10,4,14,26,108
OKC,2019-04-21,L,Home,POR111-98OKC,0.375,33,88,0.375,15,40,0.773,17,22,44,6,38,23,7,4,14,22,98
BOS,2019-04-21,W,Away,IND106-110BOS,0.462,36,78,0.393,11,28,0.794,27,34,43,7,36,18,7,1,17,23,110
IND,2019-04-21,L,Home,BOS110-106IND,0.409,36,88,0.357,10,28,0.857,24,28,43,11,32,18,5,2,12,25,106
GSW,2019-04-21,W,Away,LAC105-113GSW,0.472,42,89,0.387,12,31,0.895,17,19,49,11,38,27,5,2,13,27,113
LAC,2019-04-21,L,Home,GSW113-105LAC,0.425,34,80,0.419,13,31,0.750,24,32,33,4,29,22,8,4,10,21,105
ORL,2019-04-21,L,Home,TOR107-85ORL,0.420,34,81,0.212,7,33,0.769,10,13,34,7,27,20,7,2,17,19,85
TOR,2019-04-21,W,Away,ORL85-107TOR,0.533,40,75,0.393,11,28,0.889,16,18,45,7,38,23,11,6,14,20,107
POR,2019-04-21,W,Away,OKC98-111POR,0.411,37,90,0.429,15,35,0.957,22,23,49,8,41,16,10,8,13,22,111
MIL,2019-04-22,W,Away,DET104-127MIL,0.544,43,79,0.357,10,28,0.756,31,41,54,10,44,27,6,10,19,21,127
DET,2019-04-22,L,Home,MIL127-104DET,0.410,41,100,0.382,13,34,0.750,9,12,36,10,26,26,8,1,11,31,104
HOU,2019-04-22,L,Away,UTA107-91HOU,0.354,28,79,0.370,17,46,0.750,18,24,35,9,26,14,9,4,16,23,91
UTA,2019-04-22,W,Home,HOU91-107UTA,0.430,37,86,0.314,11,35,0.846,22,26,52,16,36,24,7,7,15,19,107
