Team,Match Up,Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
ATL,ATL vs. IND,2019-04-10,L,240,134,43,103,0.417,17,41,0.415,31,38,0.816,22,39,61,29,5,7,17,25,-1
IND,IND @ ATL,2019-04-10,W,240,135,45,98,0.459,12,30,0.400,33,39,0.846,13,30,43,22,12,7,8,28,1
CHA,CHA vs. ORL,2019-04-10,L,240,114,41,78,0.526,8,29,0.276,24,27,0.889,4,28,32,21,3,4,8,14,-8
ORL,ORL @ CHA,2019-04-10,W,240,122,48,88,0.545,11,30,0.367,15,20,0.750,9,30,39,24,5,2,6,19,8
UTA,UTA @ LAC,2019-04-10,L,265,137,47,106,0.443,14,35,0.400,29,33,0.879,17,40,57,31,8,11,17,24,-6
LAC,LAC vs. UTA,2019-04-10,W,265,143,54,106,0.509,12,28,0.429,23,30,0.767,12,40,52,34,7,5,12,27,6
DAL,DAL @ SAS,2019-04-10,L,240,94,37,91,0.407,11,37,0.297,9,12,0.750,7,35,42,27,5,4,7,19,-11
SAS,SAS vs. DAL,2019-04-10,W,240,105,41,88,0.466,8,24,0.333,15,18,0.833,8,45,53,22,6,2,11,14,11
MIL,MIL vs. OKC,2019-04-10,L,240,116,43,100,0.430,15,46,0.326,15,21,0.714,11,42,53,27,7,1,15,14,-11
OKC,OKC @ MIL,2019-04-10,W,240,127,48,99,0.485,23,54,0.426,8,13,0.615,9,44,53,40,7,3,13,20,11
NYK,NYK vs. DET,2019-04-10,L,240,89,31,77,0.403,9,30,0.300,18,25,0.720,4,29,33,23,7,5,11,17,-26
DET,DET @ NYK,2019-04-10,W,240,115,41,85,0.482,14,33,0.424,19,20,0.950,11,45,56,25,5,2,14,23,26
GSW,GSW @ MEM,2019-04-10,L,240,117,46,92,0.500,13,30,0.433,12,14,0.857,9,30,39,32,3,5,14,17,-15
MEM,MEM vs. GSW,2019-04-10,W,240,132,48,98,0.490,21,46,0.457,15,18,0.833,15,34,49,25,9,0,11,18,15
MIA,MIA @ BKN,2019-04-10,L,240,94,38,98,0.388,8,41,0.195,10,15,0.667,8,46,54,22,9,4,15,12,-19
BKN,BKN vs. MIA,2019-04-10,W,240,113,43,114,0.377,21,58,0.362,6,7,0.857,20,48,68,29,7,3,12,13,19
PHI,PHI vs. CHI,2019-04-10,W,240,125,52,93,0.559,12,26,0.462,9,15,0.600,9,38,47,30,4,10,7,11,16
CHI,CHI @ PHI,2019-04-10,L,240,109,45,95,0.474,9,24,0.375,10,15,0.667,9,30,39,21,4,3,8,13,-16
MIN,MIN @ DEN,2019-04-10,L,240,95,39,91,0.429,13,32,0.406,4,6,0.667,7,34,41,24,6,0,10,22,-4
DEN,DEN vs. MIN,2019-04-10,W,240,99,39,87,0.448,10,33,0.303,11,17,0.647,12,41,53,23,6,4,13,12,4
SAC,SAC @ POR,2019-04-10,L,240,131,50,96,0.521,18,43,0.419,13,16,0.813,12,23,35,25,5,1,10,17,-5
POR,POR vs. SAC,2019-04-10,W,240,136,53,91,0.582,14,24,0.583,16,22,0.727,14,30,44,19,5,2,13,17,5
LAL,LAL vs. POR,2019-04-09,L,240,101,40,94,0.426,10,29,0.345,11,17,0.647,17,34,51,29,6,6,17,19,-3
POR,POR @ LAL,2019-04-09,W,240,104,37,90,0.411,11,37,0.297,19,22,0.864,11,34,45,18,8,10,14,14,3
HOU,HOU @ OKC,2019-04-09,L,240,111,38,88,0.432,18,53,0.340,17,20,0.850,9,33,42,18,7,7,11,21,-1
OKC,OKC vs. HOU,2019-04-09,W,240,112,40,96,0.417,16,41,0.390,16,20,0.800,18,38,56,20,5,2,12,19,1
UTA,UTA vs. DEN,2019-04-09,W,240,118,41,78,0.526,10,27,0.370,26,34,0.765,9,39,48,24,5,5,15,21,10
DEN,DEN @ UTA,2019-04-09,L,240,108,41,88,0.466,12,25,0.480,14,22,0.636,3,28,31,24,9,3,7,28,-10
PHX,PHX @ DAL,2019-04-09,L,240,109,38,88,0.432,13,35,0.371,20,28,0.714,5,33,38,21,13,6,14,22,-11
DAL,DAL vs. PHX,2019-04-09,W,240,120,41,91,0.451,16,40,0.400,22,27,0.815,18,46,64,28,6,6,22,24,11
CHI,CHI vs. NYK,2019-04-09,L,240,86,30,83,0.361,7,22,0.318,19,29,0.655,6,44,50,14,7,4,7,18,-10
NYK,NYK @ CHI,2019-04-09,W,240,96,37,93,0.398,14,40,0.350,8,13,0.615,11,50,61,17,0,10,9,16,10
MIN,MIN vs. TOR,2019-04-09,L,240,100,38,91,0.418,13,42,0.310,11,14,0.786,5,30,35,26,10,9,12,16,-20
TOR,TOR @ MIN,2019-04-09,W,240,120,46,88,0.523,16,37,0.432,12,17,0.706,7,47,54,24,10,5,18,17,20
MIA,MIA vs. PHI,2019-04-09,W,240,122,46,87,0.529,13,27,0.481,17,23,0.739,7,37,44,29,6,10,15,18,23
PHI,PHI @ MIA,2019-04-09,L,240,99,40,98,0.408,5,25,0.200,14,16,0.875,11,35,46,22,11,0,15,19,-23
NOP,NOP vs. GSW,2019-04-09,L,240,103,44,99,0.444,9,33,0.273,6,10,0.600,7,35,42,29,9,1,10,15,-9
GSW,GSW @ NOP,2019-04-09,W,240,112,43,89,0.483,12,30,0.400,14,21,0.667,11,47,58,25,8,3,15,17,9
BOS,BOS @ WAS,2019-04-09,W,240,116,45,99,0.455,15,44,0.341,11,23,0.478,13,37,50,27,10,3,6,17,6
WAS,WAS vs. BOS,2019-04-09,L,240,110,41,97,0.423,14,39,0.359,14,18,0.778,13,45,58,28,2,3,15,18,-6
MEM,MEM @ DET,2019-04-09,L,240,93,33,69,0.478,10,24,0.417,17,21,0.810,7,36,43,19,4,6,22,24,-7
DET,DET vs. MEM,2019-04-09,W,240,100,35,88,0.398,10,34,0.294,20,28,0.714,14,26,40,16,13,4,9,21,7
CHA,CHA @ CLE,2019-04-09,W,240,124,45,78,0.577,22,44,0.500,12,17,0.706,5,32,37,35,8,7,10,13,27
CLE,CLE vs. CHA,2019-04-09,L,240,97,40,89,0.449,11,30,0.367,6,8,0.750,14,27,41,24,3,2,14,18,-27
MIL,MIL vs. ATL,2019-04-07,W,240,115,40,91,0.440,9,41,0.220,26,34,0.765,11,50,61,19,8,10,14,23,8
ATL,ATL @ MIL,2019-04-07,L,240,107,40,100,0.400,17,45,0.378,10,19,0.526,9,39,48,25,2,3,11,28,-8
NYK,NYK vs. WAS,2019-04-07,W,240,113,41,80,0.513,17,34,0.500,14,19,0.737,7,36,43,24,5,9,15,14,3
WAS,WAS @ NYK,2019-04-07,L,240,110,43,103,0.417,10,34,0.294,14,18,0.778,21,29,50,24,12,4,9,16,-3
BOS,BOS vs. ORL,2019-04-07,L,240,108,42,89,0.472,12,31,0.387,12,14,0.857,6,33,39,28,9,4,14,19,-8
ORL,ORL @ BOS,2019-04-07,W,240,116,41,90,0.456,12,33,0.364,22,22,1.000,11,34,45,29,9,7,16,14,8
GSW,GSW vs. LAC,2019-04-07,W,240,131,53,97,0.546,12,37,0.324,13,15,0.867,11,37,48,34,16,8,11,22,27
LAC,LAC @ GSW,2019-04-07,L,240,104,38,79,0.481,10,19,0.526,18,29,0.621,6,33,39,26,7,4,20,22,-27
PHX,PHX @ HOU,2019-04-07,L,240,113,43,93,0.462,11,34,0.324,16,21,0.762,8,34,42,26,8,0,13,18,-36
HOU,HOU vs. PHX,2019-04-07,W,240,149,53,100,0.530,27,57,0.474,16,21,0.762,12,40,52,34,12,5,9,16,36
MEM,MEM vs. DAL,2019-04-07,L,265,127,42,98,0.429,19,44,0.432,24,28,0.857,10,43,53,32,4,4,9,24,-2
DAL,DAL @ MEM,2019-04-07,W,265,129,45,98,0.459,12,41,0.293,27,34,0.794,11,40,51,31,4,5,7,23,2
BKN,BKN @ IND,2019-04-07,W,240,108,40,88,0.455,11,36,0.306,17,22,0.773,17,35,52,23,7,4,16,13,12
IND,IND vs. BKN,2019-04-07,L,240,96,41,85,0.482,10,27,0.370,4,7,0.571,5,28,33,27,6,3,13,18,-12
DET,DET vs. CHA,2019-04-07,L,240,91,34,92,0.370,10,41,0.244,13,15,0.867,18,37,55,20,3,7,9,18,-13
CHA,CHA @ DET,2019-04-07,W,240,104,38,88,0.432,10,31,0.323,18,23,0.783,8,36,44,23,5,3,7,13,13
OKC,OKC @ MIN,2019-04-07,W,240,132,48,92,0.522,14,34,0.412,22,26,0.846,14,32,46,27,6,4,14,30,6
MIN,MIN vs. OKC,2019-04-07,L,240,126,46,85,0.541,10,23,0.435,24,29,0.828,6,26,32,29,9,5,13,24,-6
SAS,SAS @ CLE,2019-04-07,W,240,112,43,82,0.524,9,22,0.409,17,22,0.773,11,38,49,27,10,5,18,18,22
CLE,CLE vs. SAS,2019-04-07,L,240,90,31,79,0.392,8,29,0.276,20,27,0.741,10,25,35,16,14,1,18,16,-22
