Team,Match Up,Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
UTA,UTA vs. HOU,2019-04-22,W,240,107,37,86,0.430,11,35,0.314,22,26,0.846,16,36,52,24,7,7,15,19,16
HOU,HOU @ UTA,2019-04-22,L,240,91,28,79,0.354,17,46,0.370,18,24,0.750,9,26,35,14,9,4,16,23,-16
DET,DET vs. MIL,2019-04-22,L,240,104,41,100,0.410,13,34,0.382,9,12,0.750,10,26,36,26,8,1,11,31,-23
MIL,MIL @ DET,2019-04-22,W,240,127,43,79,0.544,10,28,0.357,31,41,0.756,10,44,54,27,6,10,19,21,23
TOR,TOR @ ORL,2019-04-21,W,240,107,40,75,0.533,11,28,0.393,16,18,0.889,7,38,45,23,11,6,14,20,22
ORL,ORL vs. TOR,2019-04-21,L,240,85,34,81,0.420,7,33,0.212,10,13,0.769,7,27,34,20,7,2,17,19,-22
LAC,LAC vs. GSW,2019-04-21,L,240,105,34,80,0.425,13,31,0.419,24,32,0.750,4,29,33,22,8,4,10,21,-8
GSW,GSW @ LAC,2019-04-21,W,240,113,42,89,0.472,12,31,0.387,17,19,0.895,11,38,49,27,5,2,13,27,8
IND,IND vs. BOS,2019-04-21,L,240,106,36,88,0.409,10,28,0.357,24,28,0.857,11,32,43,18,5,2,12,25,-4
BOS,BOS @ IND,2019-04-21,W,240,110,36,78,0.462,11,28,0.393,27,34,0.794,7,36,43,18,7,1,17,23,4
OKC,OKC vs. POR,2019-04-21,L,240,98,33,88,0.375,15,40,0.375,17,22,0.773,6,38,44,23,7,4,14,22,-13
POR,POR @ OKC,2019-04-21,W,240,111,37,90,0.411,15,35,0.429,22,23,0.957,8,41,49,16,10,8,13,22,13
BKN,BKN vs. PHI,2019-04-20,L,240,108,36,90,0.400,12,38,0.316,24,31,0.774,12,29,41,23,10,4,14,26,-4
PHI,PHI @ BKN,2019-04-20,W,240,112,44,88,0.500,8,26,0.308,16,21,0.762,12,44,56,25,6,8,21,24,4
HOU,HOU @ UTA,2019-04-20,W,240,104,33,86,0.384,15,45,0.333,23,34,0.676,9,43,52,19,11,4,13,25,3
UTA,UTA vs. HOU,2019-04-20,L,240,101,32,77,0.416,12,41,0.293,25,38,0.658,7,41,48,21,9,11,14,22,-3
MIL,MIL @ DET,2019-04-20,W,240,119,42,86,0.488,14,38,0.368,21,24,0.875,13,38,51,24,5,6,16,22,16
DET,DET vs. MIL,2019-04-20,L,240,103,37,96,0.385,11,36,0.306,18,24,0.750,15,29,44,21,9,6,9,24,-16
SAS,SAS vs. DEN,2019-04-20,L,240,103,37,79,0.468,5,17,0.294,24,32,0.750,11,35,46,23,4,4,10,22,-14
DEN,DEN @ SAS,2019-04-20,W,240,117,40,89,0.449,15,31,0.484,22,24,0.917,11,34,45,25,4,2,8,22,14
OKC,OKC vs. POR,2019-04-19,W,240,120,37,77,0.481,15,29,0.517,31,39,0.795,8,29,37,27,6,5,15,24,12
POR,POR @ OKC,2019-04-19,L,240,108,39,83,0.470,12,31,0.387,18,24,0.750,12,29,41,18,5,1,18,33,-12
IND,IND vs. BOS,2019-04-19,L,240,96,34,81,0.420,11,30,0.367,17,23,0.739,8,32,40,20,9,4,11,19,-8
BOS,BOS @ IND,2019-04-19,W,240,104,38,81,0.469,15,34,0.441,13,22,0.591,9,36,45,23,4,4,13,19,8
TOR,TOR @ ORL,2019-04-19,W,240,98,39,87,0.448,11,28,0.393,9,10,0.900,8,35,43,26,9,3,13,23,5
ORL,ORL vs. TOR,2019-04-19,L,240,93,29,80,0.363,13,44,0.295,22,23,0.957,7,35,42,19,8,5,16,17,-5
