Accuracy Report
featureSel,3
Predict from,2018-10-16
Predict to,2018-11-24
Model/Train ID,2015-08-01_to_2018-04-13_feature3_period5
team_A,None
team_B,None
-----,-----
LogiRegr,0.6350877192982456
LogiRegr_GS,0.624561403508772
SVM,0.5228070175438596
SVM_GS,0.624561403508772
XGBoost,0.6105263157894737
XGBoost_GS,0.6105263157894737
RandomForest,0.5894736842105263
RandomForest_GS,0.624561403508772
GBDT,0.5894736842105263
GBDT_GS,0.5684210526315789
AdaBoost,0.5754385964912281
AdaBoost_GS,0.5719298245614035
