Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
MIA,2018-04-14,L,Away,PHI130-103MIA,0.455,35,77,0.462,12,26,0.677,21,31,41,9,32,25,4,6,18,25,103
WAS,2018-04-14,L,Away,TOR114-106WAS,0.477,41,86,0.381,8,21,0.889,16,18,35,6,29,29,11,3,14,21,106
TOR,2018-04-14,W,Home,WAS106-114TOR,0.532,41,77,0.533,16,30,0.800,16,20,38,5,33,26,6,7,17,18,114
POR,2018-04-14,L,Home,NOP97-95POR,0.378,37,98,0.308,12,39,0.750,9,12,52,15,37,17,10,6,12,15,95
PHI,2018-04-14,W,Home,MIA103-130PHI,0.474,45,95,0.643,18,28,0.759,22,29,50,17,33,34,9,4,11,23,130
GSW,2018-04-14,W,Home,SAS92-113GSW,0.543,44,81,0.455,10,22,0.682,15,22,51,10,41,32,6,6,15,18,113
SAS,2018-04-14,L,Away,GSW113-92SAS,0.400,32,80,0.409,9,22,0.792,19,24,30,3,27,19,9,4,13,20,92
NOP,2018-04-14,W,Away,POR95-97NOP,0.477,41,86,0.333,8,24,0.700,7,10,49,7,42,26,8,12,15,17,97
UTA,2018-04-15,L,Away,OKC116-108UTA,0.471,41,87,0.393,11,28,0.750,15,20,42,9,33,18,10,7,14,21,108
IND,2018-04-15,W,Away,CLE80-98IND,0.456,36,79,0.393,11,28,0.600,15,25,44,8,36,19,12,4,11,21,98
CLE,2018-04-15,L,Home,IND98-80CLE,0.385,30,78,0.235,8,34,0.600,12,20,46,9,37,21,7,4,17,23,80
OKC,2018-04-15,W,Home,UTA108-116OKC,0.482,41,85,0.483,14,29,0.870,20,23,46,9,37,16,8,5,17,19,116
MIL,2018-04-15,L,Away,BOS113-107MIL,0.482,40,83,0.381,8,21,0.792,19,24,42,5,37,22,8,8,20,31,107
MIN,2018-04-15,L,Away,HOU104-101MIN,0.438,35,80,0.348,8,23,0.821,23,28,47,11,36,22,3,2,14,19,101
HOU,2018-04-15,W,Home,MIN101-104HOU,0.470,39,83,0.270,10,37,0.696,16,23,37,8,29,15,8,8,11,19,104
BOS,2018-04-15,W,Home,MIL107-113BOS,0.415,39,94,0.423,11,26,0.889,24,27,45,11,34,20,8,5,15,21,113
PHI,2018-04-16,L,Home,MIA113-103PHI,0.417,40,96,0.194,7,36,0.727,16,22,49,17,32,22,7,5,15,26,103
MIA,2018-04-16,W,Away,PHI103-113MIA,0.488,40,82,0.360,9,25,0.800,24,30,46,11,35,23,8,7,15,27,113
GSW,2018-04-16,W,Home,SAS101-116GSW,0.526,41,78,0.484,15,31,0.950,19,20,39,6,33,32,5,5,15,24,116
SAS,2018-04-16,L,Away,GSW116-101SAS,0.412,35,85,0.143,4,28,0.900,27,30,35,9,26,16,10,2,9,21,101
TOR,2018-04-17,W,Home,WAS119-130TOR,0.517,45,87,0.371,13,35,0.818,27,33,48,9,39,24,5,8,14,27,130
WAS,2018-04-17,L,Away,TOR130-119WAS,0.488,42,86,0.455,10,22,0.893,25,28,34,4,30,26,7,3,9,24,119
POR,2018-04-17,L,Home,NOP111-102POR,0.451,41,91,0.375,12,32,0.800,8,10,45,13,32,20,5,4,16,20,102
NOP,2018-04-17,W,Away,POR102-111NOP,0.512,43,84,0.500,12,24,0.684,13,19,43,10,33,25,4,4,14,17,111
MIL,2018-04-17,L,Away,BOS120-106MIL,0.597,46,77,0.412,7,17,0.412,7,17,38,7,31,19,3,4,15,19,106
BOS,2018-04-17,W,Home,MIL106-120BOS,0.533,48,90,0.419,13,31,0.611,11,18,38,9,29,24,10,6,7,16,120
IND,2018-04-18,L,Away,CLE100-97IND,0.526,41,78,0.273,6,22,0.750,9,12,36,5,31,22,8,3,17,23,97
CLE,2018-04-18,W,Home,IND97-100CLE,0.507,37,73,0.393,11,28,0.682,15,22,30,6,24,15,8,2,15,19,100
HOU,2018-04-18,W,Home,MIN82-102HOU,0.365,35,96,0.308,16,52,0.762,16,21,54,12,42,22,8,9,9,17,102
MIN,2018-04-18,L,Away,HOU102-82MIN,0.388,31,80,0.278,5,18,0.714,15,21,52,9,43,15,7,7,16,16,82
OKC,2018-04-18,L,Home,UTA102-95OKC,0.400,36,90,0.314,11,35,0.667,12,18,46,10,36,22,11,4,13,25,95
UTA,2018-04-18,W,Away,OKC95-102UTA,0.417,35,84,0.310,9,29,0.697,23,33,56,15,41,22,9,3,16,19,102
NOP,2018-04-19,W,Home,POR102-119NOP,0.529,46,87,0.407,11,27,0.842,16,19,38,6,32,27,16,4,13,23,119
POR,2018-04-19,L,Away,NOP119-102POR,0.463,37,80,0.290,9,31,0.760,19,25,44,11,33,19,10,3,24,19,102
MIA,2018-04-19,L,Home,PHI128-108MIA,0.452,33,73,0.485,16,33,0.743,26,35,35,5,30,26,7,9,15,30,108
GSW,2018-04-19,W,Away,SAS97-110GSW,0.512,42,82,0.313,10,32,0.889,16,18,39,4,35,26,8,7,10,16,110
PHI,2018-04-19,W,Away,MIA108-128PHI,0.506,41,81,0.529,18,34,0.757,28,37,41,6,35,28,10,5,12,26,128
SAS,2018-04-19,L,Home,GSW110-97SAS,0.425,37,87,0.212,7,33,0.800,16,20,41,10,31,19,8,5,12,21,97
WAS,2018-04-20,W,Home,TOR103-122WAS,0.553,47,85,0.435,10,23,0.900,18,20,39,7,32,29,10,8,13,21,122
TOR,2018-04-20,L,Away,WAS122-103TOR,0.451,37,82,0.429,12,28,0.895,17,19,34,8,26,20,8,4,19,19,103
MIL,2018-04-20,W,Home,BOS92-116MIL,0.570,45,79,0.485,16,33,0.667,10,15,37,7,30,28,8,12,9,27,116
BOS,2018-04-20,L,Away,MIL116-92BOS,0.400,32,80,0.333,8,24,0.714,20,28,45,17,28,17,3,1,18,15,92
CLE,2018-04-20,L,Away,IND92-90CLE,0.442,34,77,0.313,10,32,0.750,12,16,36,9,27,17,11,3,17,23,90
IND,2018-04-20,W,Home,CLE90-92IND,0.466,34,73,0.308,8,26,0.800,16,20,37,7,30,17,8,3,20,22,92
OKC,2018-04-21,L,Away,UTA115-102OKC,0.474,37,78,0.500,14,28,0.737,14,19,33,6,27,17,11,3,17,23,102
UTA,2018-04-21,W,Home,OKC102-115UTA,0.525,42,80,0.382,13,34,0.667,18,27,48,13,35,24,12,5,19,20,115
POR,2018-04-21,L,Away,NOP131-123POR,0.526,50,95,0.370,10,27,0.813,13,16,33,6,27,20,8,2,6,28,123
HOU,2018-04-21,L,Away,MIN121-105HOU,0.457,37,81,0.366,15,41,0.640,16,25,39,7,32,18,4,3,10,18,105
MIA,2018-04-21,L,Home,PHI106-102MIA,0.436,41,94,0.368,7,19,0.520,13,25,43,13,30,21,18,4,19,32,102
PHI,2018-04-21,W,Away,MIA102-106PHI,0.429,36,84,0.226,7,31,0.771,27,35,57,17,40,22,12,5,27,25,106
MIN,2018-04-21,W,Home,HOU105-121MIN,0.500,45,90,0.556,15,27,0.727,16,22,41,8,33,29,9,3,7,16,121
NOP,2018-04-21,W,Home,POR123-131NOP,0.577,45,78,0.360,9,25,0.821,32,39,43,7,36,28,5,6,14,21,131
CLE,2018-04-22,W,Away,IND100-104CLE,0.449,35,78,0.353,12,34,0.846,22,26,45,8,37,17,4,7,11,18,104
IND,2018-04-22,L,Home,CLE104-100IND,0.430,40,93,0.364,12,33,0.615,8,13,47,11,36,25,7,5,9,19,100
GSW,2018-04-22,L,Away,SAS103-90GSW,0.378,34,90,0.250,7,28,0.882,15,17,61,24,37,19,6,2,18,22,90
SAS,2018-04-22,W,Home,GSW90-103SAS,0.457,37,81,0.536,15,28,0.737,14,19,34,7,27,20,6,4,8,18,103
BOS,2018-04-22,L,Away,MIL104-102BOS,0.414,36,87,0.345,10,29,0.800,20,25,43,16,27,22,6,3,9,21,102
