Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
HOU,2016-03-12,L,Away,CHA125-109HOU,0.462,43,93,0.192,5,26,0.643,18,28,40,14,26,21,8,5,9,20,109
TOR,2016-03-12,W,Home,MIA104-112TOR,0.440,37,84,0.333,6,18,0.842,32,38,42,7,35,17,10,7,14,23,112
CHA,2016-03-12,W,Home,HOU109-125CHA,0.545,48,88,0.484,15,31,0.875,14,16,44,10,34,28,6,5,12,25,125
MIA,2016-03-12,L,Away,TOR112-104MIA,0.378,37,98,0.360,9,25,0.808,21,26,47,16,31,19,9,5,14,30,104
NYK,2016-03-13,W,Away,LAL87-90NYK,0.440,33,75,0.238,5,21,0.704,19,27,45,5,40,19,5,6,10,16,90
SAC,2016-03-13,L,Home,UTA108-99SAC,0.469,38,81,0.429,9,21,0.667,14,21,36,8,28,25,8,5,12,20,99
IND,2016-03-13,L,Away,ATL104-75IND,0.379,33,87,0.208,5,24,0.571,4,7,38,7,31,24,9,5,17,14,75
ATL,2016-03-13,W,Home,IND75-104ATL,0.471,40,85,0.500,15,30,0.900,9,10,50,9,41,27,11,6,17,13,104
UTA,2016-03-13,W,Away,SAC99-108UTA,0.476,39,82,0.429,12,28,0.818,18,22,47,11,36,26,8,3,16,22,108
CLE,2016-03-13,W,Away,LAC90-114CLE,0.488,41,84,0.486,18,37,0.700,14,20,49,9,40,23,3,4,10,19,114
MIL,2016-03-13,W,Away,BKN100-109MIL,0.506,45,89,0.429,6,14,0.619,13,21,41,15,26,27,13,3,13,12,109
BKN,2016-03-13,L,Home,MIL109-100BKN,0.557,39,70,0.444,12,27,0.769,10,13,31,3,28,25,3,6,21,18,100
LAL,2016-03-13,L,Home,NYK90-87LAL,0.400,34,85,0.188,3,16,0.762,16,21,45,10,35,14,6,2,9,20,87
LAC,2016-03-13,L,Home,CLE114-90LAC,0.405,32,79,0.313,10,32,0.842,16,19,34,5,29,23,5,4,10,23,90
CHA,2016-03-14,L,Home,DAL107-96CHA,0.421,32,76,0.333,10,30,0.647,22,34,40,7,33,18,9,7,15,16,96
OKC,2016-03-14,W,Home,POR94-128OKC,0.590,49,83,0.529,9,17,0.808,21,26,52,10,42,31,10,6,13,20,128
POR,2016-03-14,L,Away,OKC128-94POR,0.341,31,91,0.259,7,27,0.926,25,27,39,14,25,13,4,7,11,19,94
TOR,2016-03-14,L,Home,CHI109-107TOR,0.446,37,83,0.300,6,20,0.871,27,31,42,10,32,12,5,9,7,18,107
CHI,2016-03-14,W,Away,TOR107-109CHI,0.494,41,83,0.360,9,25,0.900,18,20,38,8,30,23,2,7,9,22,109
DET,2016-03-14,L,Away,WAS124-81DET,0.405,32,79,0.130,3,23,0.636,14,22,39,11,28,17,5,4,21,21,81
WAS,2016-03-14,W,Home,DET81-124WAS,0.567,51,90,0.444,8,18,0.778,14,18,40,5,35,34,11,3,10,22,124
DAL,2016-03-14,W,Away,CHA96-107DAL,0.483,42,87,0.300,9,30,0.778,14,18,42,6,36,30,9,6,15,26,107
MIA,2016-03-14,W,Home,DEN119-124MIA,0.595,47,79,0.471,8,17,0.786,22,28,33,6,27,24,9,6,15,20,124
UTA,2016-03-14,W,Home,CLE85-94UTA,0.493,35,71,0.444,12,27,0.857,12,14,40,8,32,20,3,4,13,15,94
DEN,2016-03-14,L,Away,MIA124-119DEN,0.527,49,93,0.350,7,20,0.700,14,20,40,13,27,22,9,2,15,21,119
MEM,2016-03-14,L,Away,HOU130-81MEM,0.297,30,101,0.235,4,17,0.607,17,28,58,28,30,14,7,0,20,25,81
HOU,2016-03-14,W,Home,MEM81-130HOU,0.541,46,85,0.485,16,33,0.647,22,34,53,8,45,29,13,14,13,22,130
PHX,2016-03-14,W,Home,MIN104-107PHX,0.421,40,95,0.314,11,35,0.800,16,20,57,19,38,22,8,3,24,26,107
MIN,2016-03-14,L,Away,PHX107-104MIN,0.440,37,84,0.250,4,16,0.867,26,30,36,6,30,25,13,4,16,20,104
GSW,2016-03-14,W,Home,NOP107-125GSW,0.580,47,81,0.480,12,25,0.826,19,23,46,8,38,30,6,6,18,22,125
NOP,2016-03-14,L,Away,GSW125-107NOP,0.376,35,93,0.280,7,25,0.882,30,34,40,17,23,18,14,3,9,19,107
CLE,2016-03-14,L,Away,UTA94-85CLE,0.398,35,88,0.233,10,43,0.625,5,8,39,13,26,18,6,3,8,16,85
IND,2016-03-15,W,Home,BOS98-103IND,0.464,39,84,0.417,5,12,0.714,20,28,45,11,34,18,9,7,14,18,103
TOR,2016-03-15,W,Away,MIL89-107TOR,0.470,39,83,0.467,14,30,0.882,15,17,48,13,35,27,4,8,10,23,107
MIL,2016-03-15,L,Home,TOR107-89MIL,0.442,34,77,0.154,2,13,0.731,19,26,37,10,27,18,8,3,7,16,89
BOS,2016-03-15,L,Away,IND103-98BOS,0.383,36,94,0.258,8,31,0.818,18,22,50,17,33,23,6,3,14,21,98
DEN,2016-03-15,L,Away,ORL116-110DEN,0.500,40,80,0.375,9,24,0.875,21,24,37,7,30,23,8,1,16,19,110
PHI,2016-03-15,L,Away,BKN131-114PHI,0.466,41,88,0.367,11,30,0.808,21,26,34,9,25,26,6,4,17,21,114
BKN,2016-03-15,W,Home,PHI114-131BKN,0.522,47,90,0.417,10,24,0.871,27,31,52,14,38,23,12,3,13,20,131
SAS,2016-03-15,W,Home,LAC87-108SAS,0.537,44,82,0.400,8,20,0.750,12,16,42,12,30,25,6,4,10,21,108
LAL,2016-03-15,L,Home,SAC106-98LAL,0.440,37,84,0.192,5,26,0.731,19,26,49,10,39,20,10,5,22,23,98
SAC,2016-03-15,W,Away,LAL98-106SAC,0.481,38,79,0.222,4,18,0.788,26,33,41,5,36,26,17,8,17,17,106
LAC,2016-03-15,L,Away,SAS108-87LAC,0.464,32,69,0.421,8,19,0.682,15,22,27,5,22,15,5,4,15,17,87
ORL,2016-03-15,W,Home,DEN110-116ORL,0.543,44,81,0.320,8,25,0.800,20,25,35,6,29,28,7,4,13,20,116
MIN,2016-03-16,W,Away,MEM108-114MIN,0.563,40,71,0.476,10,21,0.774,24,31,33,7,26,31,5,8,14,20,114
MEM,2016-03-16,L,Home,MIN114-108MEM,0.440,44,100,0.200,4,20,0.762,16,21,51,27,24,22,3,8,13,21,108
WAS,2016-03-16,W,Home,CHI96-117WAS,0.489,43,88,0.619,13,21,0.750,18,24,47,9,38,25,12,6,15,19,117
CHI,2016-03-16,L,Away,WAS117-96CHI,0.402,35,87,0.300,6,20,0.870,20,23,40,9,31,20,10,3,18,20,96
CHA,2016-03-16,W,Home,ORL99-107CHA,0.400,40,100,0.297,11,37,0.762,16,21,59,15,44,23,3,4,8,12,107
ORL,2016-03-16,L,Away,CHA107-99ORL,0.422,35,83,0.440,11,25,0.857,18,21,40,2,38,23,4,9,10,20,99
SAC,2016-03-16,L,Home,NOP123-108SAC,0.467,42,90,0.500,9,18,0.882,15,17,39,8,31,23,7,2,11,18,108
ATL,2016-03-16,W,Away,DET114-118ATL,0.438,39,89,0.353,12,34,0.824,28,34,46,8,38,25,10,3,12,26,118
NOP,2016-03-16,W,Away,SAC108-123NOP,0.544,49,90,0.571,12,21,0.813,13,16,42,7,35,26,5,4,9,14,123
HOU,2016-03-16,L,Home,LAC122-106HOU,0.488,40,82,0.360,9,25,0.708,17,24,39,13,26,23,5,3,16,25,106
LAC,2016-03-16,W,Away,HOU106-122LAC,0.566,43,76,0.400,12,30,0.750,24,32,33,7,26,31,9,7,11,20,122
CLE,2016-03-16,W,Home,DAL98-99CLE,0.443,39,88,0.270,10,37,0.846,11,13,48,13,35,21,9,4,16,19,99
DAL,2016-03-16,L,Away,CLE99-98DAL,0.468,37,79,0.318,7,22,0.895,17,19,32,4,28,24,6,7,11,18,98
BOS,2016-03-16,L,Home,OKC130-109BOS,0.430,40,93,0.263,5,19,0.889,24,27,42,16,26,17,4,4,11,22,109
OKC,2016-03-16,W,Away,BOS109-130OKC,0.490,47,96,0.414,12,29,0.800,24,30,53,16,37,23,7,5,10,24,130
NYK,2016-03-16,L,Away,GSW121-85NYK,0.396,36,91,0.368,7,19,0.600,6,10,38,11,27,29,7,3,10,11,85
GSW,2016-03-16,W,Home,NYK85-121GSW,0.505,46,91,0.486,18,37,0.917,11,12,54,12,42,32,4,8,13,13,121
DET,2016-03-16,L,Home,ATL118-114DET,0.464,39,84,0.320,8,25,0.718,28,39,48,9,39,23,3,4,14,25,114
ATL,2016-03-17,W,Home,DEN98-116ATL,0.500,40,80,0.462,12,26,0.857,24,28,40,7,33,32,5,8,12,16,116
MEM,2016-03-17,L,Away,MIL96-86MEM,0.370,34,92,0.231,3,13,0.882,15,17,47,18,29,16,8,3,16,19,86
MIL,2016-03-17,W,Home,MEM86-96MIL,0.493,37,75,0.263,5,19,0.680,17,25,44,9,35,21,7,17,13,15,96
PHX,2016-03-17,L,Away,UTA103-69PHX,0.341,28,82,0.231,6,26,0.500,7,14,43,10,33,14,9,1,21,16,69
UTA,2016-03-17,W,Home,PHX69-103UTA,0.489,43,88,0.440,11,25,0.667,6,9,51,9,42,20,14,5,16,18,103
DEN,2016-03-17,L,Away,ATL116-98DEN,0.448,39,87,0.273,6,22,0.824,14,17,39,9,30,22,6,4,14,22,98
TOR,2016-03-17,W,Away,IND94-101TOR,0.364,32,88,0.318,7,22,0.789,30,38,57,15,42,11,5,5,15,21,101
MIA,2016-03-17,L,Home,CHA109-106MIA,0.533,40,75,0.412,7,17,0.792,19,24,39,6,33,22,5,8,15,17,106
CHA,2016-03-17,W,Away,MIA106-109CHA,0.465,40,86,0.500,13,26,0.762,16,21,39,9,30,19,3,0,9,19,109
WAS,2016-03-17,W,Away,PHI94-99WAS,0.444,40,90,0.222,6,27,0.684,13,19,60,12,48,25,8,1,23,17,99
BKN,2016-03-17,L,Away,CHI118-102BKN,0.465,40,86,0.286,6,21,0.800,16,20,39,12,27,22,7,3,9,18,102
