Team,Match Up,Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
CLE,CLE @ GSW,2017-06-12,L,240,120,47,88,0.534,11,24,0.458,15,23,0.652,12,28,40,22,6,5,15,22,-9
GSW,GSW vs. CLE,2017-06-12,W,240,129,46,90,0.511,14,38,0.368,23,28,0.821,13,29,42,27,8,2,13,24,9
GSW,GSW @ CLE,2017-06-09,L,240,116,39,87,0.448,11,39,0.282,27,36,0.750,16,24,40,26,5,6,12,27,-21
CLE,CLE vs. GSW,2017-06-09,W,240,137,46,87,0.529,24,45,0.533,21,31,0.677,11,30,41,27,6,3,11,24,21
GSW,GSW @ CLE,2017-06-07,W,240,118,40,83,0.482,16,33,0.485,22,24,0.917,8,36,44,29,8,4,18,28,5
CLE,CLE vs. GSW,2017-06-07,L,240,113,40,90,0.444,12,44,0.273,21,25,0.840,10,27,37,17,9,3,12,25,-5
GSW,GSW vs. CLE,2017-06-04,W,240,132,46,89,0.517,18,43,0.419,22,24,0.917,10,43,53,34,5,7,20,19,19
CLE,CLE @ GSW,2017-06-04,L,240,113,45,100,0.450,8,29,0.276,15,19,0.789,10,31,41,27,15,1,9,18,-19
CLE,CLE @ GSW,2017-06-01,L,240,91,30,86,0.349,11,31,0.355,20,25,0.800,15,44,59,15,0,6,20,23,-22
GSW,GSW vs. CLE,2017-06-01,W,240,113,45,106,0.425,12,33,0.364,11,16,0.688,14,36,50,31,12,3,4,24,22
BOS,BOS vs. CLE,2017-05-25,L,240,102,37,86,0.430,11,30,0.367,17,23,0.739,12,27,39,20,7,5,18,23,-33
CLE,CLE @ BOS,2017-05-25,W,240,135,48,85,0.565,19,41,0.463,20,24,0.833,6,32,38,24,13,5,11,21,33
CLE,CLE vs. BOS,2017-05-23,W,240,112,44,74,0.595,10,22,0.455,14,17,0.824,4,33,37,23,5,4,15,16,13
