Team,Match Up,Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
DEN,DEN vs. GSW,2014-04-16,L,240,112,37,84,0.440,9,34,0.265,29,35,0.829,9,33,42,23,4,4,19,28,-4
GSW,GSW @ DEN,2014-04-16,W,240,116,44,90,0.489,8,23,0.348,20,35,0.571,11,34,45,27,12,4,14,23,4
NOP,NOP vs. HOU,2014-04-16,W,240,105,43,82,0.524,6,12,0.500,13,20,0.650,11,31,42,24,10,10,10,18,5
HOU,HOU @ NOP,2014-04-16,L,240,100,35,81,0.432,14,30,0.467,16,24,0.667,13,28,41,23,3,4,14,16,-5
CHA,CHA vs. CHI,2014-04-16,W,265,91,34,85,0.400,5,21,0.238,18,26,0.692,12,41,53,23,8,7,11,14,5
CHI,CHI @ CHA,2014-04-16,L,265,86,34,86,0.395,8,22,0.364,10,15,0.667,6,38,44,21,7,4,12,22,-5
OKC,OKC vs. DET,2014-04-16,W,240,112,38,86,0.442,5,23,0.217,31,41,0.756,24,25,49,23,10,7,15,22,1
DET,DET @ OKC,2014-04-16,L,240,111,42,83,0.506,8,19,0.421,19,31,0.613,15,26,41,20,6,3,17,28,-1
MEM,MEM vs. DAL,2014-04-16,W,265,106,43,88,0.489,5,20,0.250,15,25,0.600,20,28,48,25,7,1,17,16,1
DAL,DAL @ MEM,2014-04-16,L,265,105,44,92,0.478,8,30,0.267,9,11,0.818,15,24,39,22,11,4,13,23,-1
SAC,SAC vs. PHX,2014-04-16,L,240,99,37,86,0.430,4,19,0.211,21,30,0.700,13,41,54,19,8,3,17,20,-5
PHX,PHX @ SAC,2014-04-16,W,240,104,40,86,0.465,8,20,0.400,16,22,0.727,7,33,40,16,9,5,11,21,5
MIN,MIN vs. UTA,2014-04-16,L,290,130,40,97,0.412,8,25,0.320,42,54,0.778,13,32,45,24,12,5,15,24,-6
UTA,UTA @ MIN,2014-04-16,W,290,136,53,108,0.491,6,24,0.250,24,29,0.828,22,38,60,30,10,9,19,34,6
ATL,ATL @ MIL,2014-04-16,W,240,111,41,76,0.539,8,24,0.333,21,26,0.808,4,26,30,29,13,2,12,18,8
MIL,MIL vs. ATL,2014-04-16,L,240,103,40,77,0.519,7,18,0.389,16,21,0.762,11,32,43,25,5,5,22,21,-8
POR,POR vs. LAC,2014-04-16,W,240,110,42,101,0.416,10,26,0.385,16,22,0.727,24,41,65,29,5,2,10,23,6
LAC,LAC @ POR,2014-04-16,L,240,104,34,84,0.405,8,34,0.235,28,33,0.848,8,34,42,20,4,4,8,20,-6
ORL,ORL vs. IND,2014-04-16,L,240,86,32,79,0.405,5,15,0.333,17,24,0.708,9,31,40,14,9,5,10,16,-15
IND,IND @ ORL,2014-04-16,W,240,101,41,88,0.466,11,23,0.478,8,11,0.727,15,37,52,26,5,2,12,17,15
PHI,PHI @ MIA,2014-04-16,W,240,100,38,74,0.514,10,23,0.435,14,16,0.875,5,30,35,24,15,5,21,22,13
MIA,MIA vs. PHI,2014-04-16,L,240,87,30,73,0.411,10,30,0.333,17,22,0.773,9,25,34,16,8,2,22,16,-13
CLE,CLE vs. BKN,2014-04-16,W,240,114,46,87,0.529,8,20,0.400,14,17,0.824,13,38,51,32,10,7,12,18,29
BKN,BKN @ CLE,2014-04-16,L,240,85,30,79,0.380,8,25,0.320,17,23,0.739,6,30,36,21,9,1,16,16,-29
BOS,BOS vs. WAS,2014-04-16,L,240,102,39,84,0.464,7,30,0.233,17,23,0.739,11,26,37,24,8,1,14,16,-16
WAS,WAS @ BOS,2014-04-16,W,240,118,50,88,0.568,6,18,0.333,12,17,0.706,6,30,36,26,6,2,12,20,16
TOR,TOR @ NYK,2014-04-16,L,240,92,36,80,0.450,9,29,0.310,11,18,0.611,12,36,48,20,9,2,25,20,-3
NYK,NYK vs. TOR,2014-04-16,W,240,95,37,81,0.457,8,17,0.471,13,19,0.684,11,25,36,13,12,6,16,23,3
SAS,SAS vs. LAL,2014-04-16,L,240,100,41,99,0.414,10,30,0.333,8,10,0.800,10,39,49,25,3,6,10,19,-13
LAL,LAL @ SAS,2014-04-16,W,240,113,45,91,0.495,11,27,0.407,12,17,0.706,6,44,50,29,4,2,9,17,13
DEN,DEN @ LAC,2014-04-15,L,240,105,35,82,0.427,8,29,0.276,27,30,0.900,13,30,43,20,10,4,19,26,-12
LAC,LAC vs. DEN,2014-04-15,W,240,117,44,83,0.530,9,24,0.375,20,30,0.667,7,34,41,29,11,4,15,21,12
BKN,BKN vs. NYK,2014-04-15,L,240,98,33,75,0.440,10,25,0.400,22,31,0.710,12,26,38,25,10,1,20,26,-11
