Team_A,Date_A,W/L_A,Home/Away_A,Score_A,FG%_A,FGM_A,FGA_A,3P%_A,3PM_A,3PA_A,FT%_A,FTM_A,FTA_A,REB_A,OREB_A,DREB_A,AST_A,STL_A,BLK_A,TOV_A,PF_A,PTS_A,Opponent_A,Team_B,Date_B,W/L_B,Home/Away_B,Score_B,FG%_B,FGM_B,FGA_B,3P%_B,3PM_B,3PA_B,FT%_B,FTM_B,FTA_B,REB_B,OREB_B,DREB_B,AST_B,STL_B,BLK_B,TOV_B,PF_B,PTS_B,Opponent_B
CHI,2018-04-01,1,1,WAS94-113CHI,0.524,43,82,0.529,18,34,0.692,9,13,40,6,34,30,7,1,17,17,113,WAS,WAS,2018-04-01,0,0,CHI113-94WAS,0.457,37,81,0.267,8,30,1.000,12,12,37,6,31,27,5,4,17,12,94,CHI
OKC,2018-04-01,1,0,NOP104-109OKC,0.432,41,95,0.290,9,31,0.720,18,25,51,14,37,24,13,4,18,22,109,NOP,NOP,2018-04-01,0,1,OKC109-104NOP,0.458,38,83,0.344,11,32,0.739,17,23,44,7,37,28,13,3,21,20,104,OKC
NOP,2018-04-01,0,1,OKC109-104NOP,0.458,38,83,0.344,11,32,0.739,17,23,44,7,37,28,13,3,21,20,104,OKC,OKC,2018-04-01,1,0,NOP104-109OKC,0.432,41,95,0.290,9,31,0.720,18,25,51,14,37,24,13,4,18,22,109,NOP
CHA,2018-04-01,0,1,PHI119-102CHA,0.402,33,82,0.300,9,30,0.794,27,34,40,9,31,17,8,7,16,13,102,PHI,PHI,2018-04-01,1,0,CHA102-119PHI,0.511,48,94,0.438,14,32,0.900,9,10,44,7,37,36,15,5,14,24,119,CHA
PHI,2018-04-01,1,0,CHA102-119PHI,0.511,48,94,0.438,14,32,0.900,9,10,44,7,37,36,15,5,14,24,119,CHA,CHA,2018-04-01,0,1,PHI119-102CHA,0.402,33,82,0.300,9,30,0.794,27,34,40,9,31,17,8,7,16,13,102,PHI
UTA,2018-04-01,1,0,MIN97-121UTA,0.605,46,76,0.393,11,28,0.720,18,25,45,6,39,29,8,7,17,19,121,MIN,MIN,2018-04-01,0,1,UTA121-97MIN,0.422,38,90,0.333,8,24,0.929,13,14,32,7,25,19,10,1,14,17,97,UTA
MIN,2018-04-01,0,1,UTA121-97MIN,0.422,38,90,0.333,8,24,0.929,13,14,32,7,25,19,10,1,14,17,97,UTA,UTA,2018-04-01,1,0,MIN97-121UTA,0.605,46,76,0.393,11,28,0.720,18,25,45,6,39,29,8,7,17,19,121,MIN
MIL,2018-04-01,0,0,DEN128-125MIL,0.450,45,100,0.364,12,33,0.852,23,27,45,11,34,27,9,3,9,37,125,DEN,DEN,2018-04-01,1,1,MIL125-128DEN,0.444,40,90,0.306,11,36,0.804,37,46,57,17,40,27,2,8,17,23,128,MIL
DEN,2018-04-01,1,1,MIL125-128DEN,0.444,40,90,0.306,11,36,0.804,37,46,57,17,40,27,2,8,17,23,128,MIL,MIL,2018-04-01,0,0,DEN128-125MIL,0.450,45,100,0.364,12,33,0.852,23,27,45,11,34,27,9,3,9,37,125,DEN
ORL,2018-04-01,0,0,ATL94-88ORL,0.344,33,96,0.278,10,36,0.923,12,13,41,11,30,19,8,6,5,10,88,ATL,ATL,2018-04-01,1,1,ORL88-94ATL,0.482,41,85,0.306,11,36,1.000,1,1,52,5,47,33,0,3,16,15,94,ORL
ATL,2018-04-01,1,1,ORL88-94ATL,0.482,41,85,0.306,11,36,1.000,1,1,52,5,47,33,0,3,16,15,94,ORL,ORL,2018-04-01,0,0,ATL94-88ORL,0.344,33,96,0.278,10,36,0.923,12,13,41,11,30,19,8,6,5,10,88,ATL
IND,2018-04-01,1,0,LAC104-111IND,0.488,42,86,0.393,11,28,0.762,16,21,40,15,25,23,8,4,11,12,111,LAC,LAC,2018-04-01,0,1,IND111-104LAC,0.512,42,82,0.360,9,25,0.786,11,14,36,12,24,24,6,6,13,19,104,IND
LAC,2018-04-01,0,1,IND111-104LAC,0.512,42,82,0.360,9,25,0.786,11,14,36,12,24,24,6,6,13,19,104,IND,IND,2018-04-01,1,0,LAC104-111IND,0.488,42,86,0.393,11,28,0.762,16,21,40,15,25,23,8,4,11,12,111,LAC
PHX,2018-04-01,0,0,GSW117-107PHX,0.456,41,90,0.355,11,31,0.875,14,16,42,9,33,26,8,4,15,12,107,GSW,GSW,2018-04-01,1,1,PHX107-117GSW,0.539,48,89,0.464,13,28,0.889,8,9,45,7,38,31,10,7,15,14,117,PHX
MEM,2018-04-01,0,0,POR113-98MEM,0.455,40,88,0.429,9,21,0.750,9,12,42,9,33,20,7,5,17,19,98,POR,POR,2018-04-01,1,1,MEM98-113POR,0.464,39,84,0.316,12,38,0.920,23,25,43,8,35,28,9,2,14,15,113,MEM
SAS,2018-04-01,1,1,HOU83-100SAS,0.494,40,81,0.353,6,17,0.667,14,21,48,8,40,19,8,8,9,19,100,HOU,HOU,2018-04-01,0,0,SAS100-83HOU,0.338,26,77,0.226,7,31,0.828,24,29,42,8,34,12,3,3,10,19,83,SAS
HOU,2018-04-01,0,0,SAS100-83HOU,0.338,26,77,0.226,7,31,0.828,24,29,42,8,34,12,3,3,10,19,83,SAS,SAS,2018-04-01,1,1,HOU83-100SAS,0.494,40,81,0.353,6,17,0.667,14,21,48,8,40,19,8,8,9,19,100,HOU
SAC,2018-04-01,1,0,LAL83-84SAC,0.380,35,92,0.292,7,24,0.500,7,14,47,13,34,17,9,5,10,20,84,LAL,LAL,2018-04-01,0,1,SAC84-83LAL,0.400,30,75,0.219,7,32,0.640,16,25,47,10,37,18,5,6,15,15,83,SAC
LAL,2018-04-01,0,1,SAC84-83LAL,0.400,30,75,0.219,7,32,0.640,16,25,47,10,37,18,5,6,15,15,83,SAC,SAC,2018-04-01,1,0,LAL83-84SAC,0.380,35,92,0.292,7,24,0.500,7,14,47,13,34,17,9,5,10,20,84,LAL
WAS,2018-04-01,0,0,CHI113-94WAS,0.457,37,81,0.267,8,30,1.000,12,12,37,6,31,27,5,4,17,12,94,CHI,CHI,2018-04-01,1,1,WAS94-113CHI,0.524,43,82,0.529,18,34,0.692,9,13,40,6,34,30,7,1,17,17,113,WAS
POR,2018-04-01,1,1,MEM98-113POR,0.464,39,84,0.316,12,38,0.920,23,25,43,8,35,28,9,2,14,15,113,MEM,MEM,2018-04-01,0,0,POR113-98MEM,0.455,40,88,0.429,9,21,0.750,9,12,42,9,33,20,7,5,17,19,98,POR
DAL,2018-04-01,0,0,CLE98-87DAL,0.405,32,79,0.351,13,37,0.909,10,11,38,4,34,15,5,3,15,20,87,CLE,CLE,2018-04-01,1,1,DAL87-98CLE,0.412,35,85,0.423,11,26,0.739,17,23,50,10,40,21,7,1,11,12,98,DAL
CLE,2018-04-01,1,1,DAL87-98CLE,0.412,35,85,0.423,11,26,0.739,17,23,50,10,40,21,7,1,11,12,98,DAL,DAL,2018-04-01,0,0,CLE98-87DAL,0.405,32,79,0.351,13,37,0.909,10,11,38,4,34,15,5,3,15,20,87,CLE
BKN,2018-04-01,0,1,DET108-96BKN,0.425,37,87,0.279,12,43,0.667,10,15,40,6,34,23,5,5,12,22,96,DET,DET,2018-04-01,1,0,BKN96-108DET,0.452,38,84,0.368,7,19,0.781,25,32,53,10,43,17,9,3,11,16,108,BKN
GSW,2018-04-01,1,1,PHX107-117GSW,0.539,48,89,0.464,13,28,0.889,8,9,45,7,38,31,10,7,15,14,117,PHX,PHX,2018-04-01,0,0,GSW117-107PHX,0.456,41,90,0.355,11,31,0.875,14,16,42,9,33,26,8,4,15,12,107,GSW
